"","region_type","region","year","week","weighted_ili","unweighted_ili","age_0_4","age_25_49","age_25_64","age_5_24","age_50_64","age_65","ilitotal","num_of_providers","total_patients","week_start","week2","location_name","season","season_week","n_weeks"
"1","States","Georgia",2015,40,NA,1.4234,NA,NA,NA,NA,NA,NA,385,30,27048,2015-10-04,40,"Georgia","2015",1,43
"2","States","Georgia",2015,41,NA,1.17165,NA,NA,NA,NA,NA,NA,360,30,30726,2015-10-11,41,"Georgia","2015",2,43
"3","States","Georgia",2015,42,NA,1.03207,NA,NA,NA,NA,NA,NA,318,31,30812,2015-10-18,42,"Georgia","2015",3,43
"4","States","Georgia",2015,43,NA,0.847821,NA,NA,NA,NA,NA,NA,257,30,30313,2015-10-25,43,"Georgia","2015",4,43
"5","States","Georgia",2015,44,NA,1.07349,NA,NA,NA,NA,NA,NA,370,31,34467,2015-11-01,44,"Georgia","2015",5,43
"6","States","Georgia",2015,45,NA,1.01664,NA,NA,NA,NA,NA,NA,344,31,33837,2015-11-08,45,"Georgia","2015",6,43
"7","States","Georgia",2015,46,NA,1.25685,NA,NA,NA,NA,NA,NA,431,31,34292,2015-11-15,46,"Georgia","2015",7,43
"8","States","Georgia",2015,47,NA,1.55757,NA,NA,NA,NA,NA,NA,326,31,20930,2015-11-22,47,"Georgia","2015",8,43
"9","States","Georgia",2015,48,NA,1.11751,NA,NA,NA,NA,NA,NA,367,30,32841,2015-11-29,48,"Georgia","2015",9,43
"10","States","Georgia",2015,49,NA,1.29957,NA,NA,NA,NA,NA,NA,406,29,31241,2015-12-06,49,"Georgia","2015",10,43
"11","States","Georgia",2015,50,NA,2.13077,NA,NA,NA,NA,NA,NA,729,30,34213,2015-12-13,50,"Georgia","2015",11,43
"12","States","Georgia",2015,51,NA,2.6336,NA,NA,NA,NA,NA,NA,756,29,28706,2015-12-20,51,"Georgia","2015",12,43
"13","States","Georgia",2015,52,NA,1.97743,NA,NA,NA,NA,NA,NA,687,31,34742,2015-12-27,52,"Georgia","2015",13,43
"14","States","Georgia",2016,1,NA,1.56396,NA,NA,NA,NA,NA,NA,587,33,37533,2016-01-03,1,"Georgia","2015",14,43
